match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5774364501,4861537730,False,1609927183,1696,2374.0,1.0,0,22,41,5,145,"111,123,41,22,83","35,27,20,42,8"
5774364418,4861540011,False,1609927189,1757,1099.0,1.0,7,22,23,4,181,"100,19,50,43,30","1,94,99,31,26"
5774364417,4861537318,False,1609927188,1699,4195.0,3.0,7,22,67,5,155,"83,93,100,35,102","8,13,64,104,57"
5774364415,4861535364,False,1609927188,1557,,,7,22,37,4,134,"9,73,76,102,50","31,110,84,82,95"
5774364411,4861542176,True,1609927183,2065,2924.0,1.0,7,22,35,8,183,"75,64,104,29,8","13,84,1,123,14"
5774364318,4861541533,False,1609927178,1988,4417.0,4.0,7,3,63,10,236,"78,17,63,28,110","12,123,129,106,75"
5774364309,4861541759,True,1609927184,2022,3030.0,1.0,7,22,49,5,227,"11,29,114,68,56","14,10,74,60,64"
5774364219,4861541776,True,1609927174,1976,2037.0,1.0,7,22,25,5,183,"42,55,120,7,5","27,23,123,3,78"
5774364218,4861540792,True,1609927174,1961,3022.0,2.0,7,22,50,7,188,"59,74,109,14,83","75,70,26,11,8"
5774364216,4861531877,False,1609927163,1288,2478.0,2.0,7,22,42,4,186,"2,21,113,86,94","114,7,93,11,14"
5774364215,4861533045,False,1609927169,1389,1720.0,3.0,7,22,42,7,231,"90,101,96,56,41","4,27,14,15,54"
5774364202,4861540825,False,1609927179,1995,3442.0,1.0,0,4,42,3,155,"20,55,41,120,44","19,62,50,40,48"
5774364201,4861537712,True,1609927179,1719,3026.0,2.0,7,22,33,6,183,"8,46,28,21,5","6,123,18,56,121"
5774364110,4861538888,True,1609927168,1876,3013.0,1.0,7,3,17,2,225,"123,106,114,28,104","46,54,129,42,26"
5774364005,4861537407,True,1609927163,1707,3254.0,1.0,7,22,33,3,186,"70,93,36,27,4","57,74,25,53,114"
5774363915,4861542569,True,1609927158,2108,1869.0,2.0,7,22,48,3,155,"31,67,10,7,1","91,84,100,113,63"
5774363803,4861542108,False,1609927154,2094,3681.0,5.0,7,22,53,9,185,"56,57,31,70,88","107,12,104,106,64"
5774382508,4861536209,True,1609928270,567,4902.0,6.0,7,3,79,8,236,"31,39,41,81,62","109,129,1,95,8"
5774380304,4861533616,True,1609928140,474,3978.0,1.0,0,22,54,3,187,"123,30,65,70,50","19,42,59,90,86"
5774378001,4861541478,False,1609928009,1192,,,0,22,27,3,134,"93,52,42,120,74","121,101,21,77,99"
5774376916,4861542219,False,1609927939,1312,2531.0,2.0,0,4,42,5,137,"110,8,17,30,44","27,59,32,75,35"
5774375502,4861539678,True,1609927840,1247,3593.0,1.0,7,22,32,4,227,"13,85,61,8,71","2,1,121,17,104"
5774375112,4861542081,True,1609927834,1234,,,7,22,23,4,187,"4,84,8,9,41","123,11,26,93,14"
5774374713,4861542732,False,1609927779,1473,,,0,4,36,4,181,"67,110,56,35,61","8,113,128,25,63"
5774373809,4861542525,True,1609927755,1532,,,7,22,23,3,144,"99,30,42,58,74","69,129,35,101,44"
